Row,Column,Remote Desc,Flipper,
1,2,I/O,SIRC_15,
1,1,Sleep,SIRC_60,
2,1,[Clock/Timer] Select,SIRC_62,
2,2,[Clock/Timer] Set,SIRC_65,
2,3,FM MODE,SIRC_21,
3,1,Group,SIRC_73,
3,2,Group Skip,SIRC_72,
3,3,Tuning Mode,SIRC_17,
4,1,Menu/No,SIRC_58,
4,2,Name Edit/Select,SIRC_5B,
4,3,Enter/Yes,SIRC_59,
5,1,1,SIRC_00,
5,2,2,SIRC_01,
5,3,3,SIRC_02,
6,1,4,SIRC_03,
6,2,5,SIRC_04,
6,3,6,SIRC_05,
7,1,7,SIRC_06,
7,2,8,SIRC_07,
7,3,9,SIRC_08,
8,1,>10,SIRC_0D,
8,2,.10/0,SIRC_09,
8,3,CLEAR,SIRC_0F,
9,1,⏪ Rewind Left,SIRC_33,
9,2,Scroll,SIRC_4C,
9,3,⏩ Fast-Forward Right,SIRC_34,
10,1,⏪ Track Left,SIRC_30,
10,2,Display,SIRC_4B,
10,3,⏩ Track Right,SIRC_31,
11,1,Function,SIRC_69,
11,2,-,-,
11,3,Band,SIRC_0F,
12,1,⏯ MD,SIRC_0C,
12,2,⏯ CD,SIRC_0A,
12,3,◀▶ Tape,SIRC_34,
13,1,⏺ MD,SIRC_2D,
13,2,⏹ Stop,SIRC_38,
13,3,Play Mode,SIRC_26,
14,1,Repeat,SIRC_2C,
14,2,DSG,SIRC_31,
14,3,Bass/Tre,SIRC_63,
15,1,VOL +,SIRC_12,
15,2,VOL -,SIRC_13,
15,3,-,-,
